Category,Stage,Recipe Directory,Model / Workload Type,Accelerator Platform,Accelerator / GPU Topology (Count),Host Type,Orchestrator,Software Stack,Last Commit Date,Last Commit Message,Direct GitHub Recipe Link
RL,N/A,RL/a4/recipes/llama3.1-8b/nemoRL,Llama-3.1-8B,A4,4 GPUs,Single Host,GKE,NeMo RL,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/RL/a4/recipes/llama3.1-8b/nemoRL
RL,N/A,RL/a4/recipes/qwen2.5-1.5b/nemoRL,Qwen2.5-1.5B,A4,4 GPUs,Single Host,GKE,NeMo RL,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/RL/a4/recipes/qwen2.5-1.5b/nemoRL
Inference,Beta,inference/a3mega/deepseek-r1-671b/sglang-serving-gke,DeepSeek-R1-671B,A3 Mega,16 GPUs,Multi Host,GKE,"SGLang, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/a3mega/deepseek-r1-671b/sglang-serving-gke
Inference,Beta,inference/a3mega/deepseek-r1-671b/vllm-serving-gke,DeepSeek-R1-671B,A3 Mega,16 GPUs,Multi Host,GKE,"vLLM, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/a3mega/deepseek-r1-671b/vllm-serving-gke
Inference,Beta,inference/a3mega/llama-4/vllm-serving-gke,Llama-4,A3 Mega,8 GPUs,Single Host,GKE,"vLLM, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/a3mega/llama-4/vllm-serving-gke
Inference,Production,inference/a3ultra/disaggregated-serving/dynamo,Disaggregated Inference with NVIDIA Dynamo on A3 Ultra GKE,A3 Ultra,8 GPUs,Single Host,GKE,"vLLM, SGLang, Dynamo / Disaggregated Serving, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/a3ultra/disaggregated-serving/dynamo
Inference,N/A,inference/a3ultra/single-host-serving/sglang,Llama-4,A3 Ultra,8 GPUs (1 Node),Single Host,GKE,"SGLang, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/a3ultra/single-host-serving/sglang
Inference,N/A,inference/a3ultra/single-host-serving/trtllm,Llama-4,A3 Ultra,8 GPUs (1 Node),Single Host,GKE,"vLLM, TensorRT-LLM, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/a3ultra/single-host-serving/trtllm
Inference,N/A,inference/a3ultra/single-host-serving/vllm,Llama-4,A3 Ultra,8 GPUs (1 Node),Single Host,GKE,"vLLM, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/a3ultra/single-host-serving/vllm
Inference,N/A,inference/a4/single-host-serving/sglang/deepseek-r1-671b,DeepSeek-R1-671B,A4,8 GPUs (1 Node),Single Host,GKE,"SGLang, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/a4/single-host-serving/sglang/deepseek-r1-671b
Inference,N/A,inference/a4/single-host-serving/sglang/wan2.2,Wan-2.2-14B,A4,1 GPUs,Single Host,GKE,"SGLang, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/a4/single-host-serving/sglang/wan2.2
Inference,N/A,inference/a4/single-host-serving/tensorrt-llm,Llama-4,A4,8 GPUs (1 Node),Single Host,GKE,"TensorRT-LLM, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/a4/single-host-serving/tensorrt-llm
Inference,N/A,inference/a4/single-host-serving/vllm,Single Host Model Serving with vLLM on A4 GKE Node Pool,A4,8 GPUs (1 Node),Single Host,GKE,"vLLM, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/a4/single-host-serving/vllm
Inference,Production,inference/a4x/disaggregated-serving/dynamo,Disaggregated Multi-Node Inference with NVIDIA Dynamo on A4X GKE,A4X,4 GPUs,Multi Host,Slurm,"vLLM, SGLang, Dynamo / Disaggregated Serving, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/a4x/disaggregated-serving/dynamo
Inference,N/A,inference/a4x/multi-host-serving/sglang,Kimi-k3,A4X,16 GPUs,Multi Host,GKE,"SGLang, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/inference/a4x/multi-host-serving/sglang
